 GPS_altitude, GPS_speed (m/s),Sample Time Delta (s),Throttle Val Raw,Motor 1 Raw,Motor 2 Raw,Motor 3 Raw,Motor 4 Raw,Throttle Value (%),Motor 1 Output (%),Motor 2 Output (%),Motor 3 Output (%),Motor 4 Output (%),Acceleration (m/s),Distance btwn pts
82,43.08,0.200553,1928,1918,1886,1885,1912,92.8,93.69809477,92.13483146,92.08597948,93.4049829,34.15555988,8.63982324
83,50.67,0.289993,1956,1982,1910,1934,2003,95.6,96.8246214,93.30727894,94.47972643,97.85051295,26.17304556,14.69394531
83,57.05,0.110128,1974,2013,1943,1986,2033,97.4,98.33903273,94.91939424,97.02002931,99.3160723,57.93258753,6.2828024
84,61.7,0.200146,2000,2047,1964,1982,2018,100,100,95.94528578,96.8246214,98.58329262,23.23303988,12.3490082
84,65.64,0.199785,2000,2033,1957,2005,2035,100,99.3160723,95.60332193,97.9482169,99.41377626,19.72120029,13.1138874
85,67.76,0.200343,2000,2016,1942,1983,2043,100,98.48558867,94.87054226,96.87347338,99.80459209,10.58185212,13.57524168
85,69.55,0.290104,2000,1993,1926,2002,2039,100,97.36199316,94.0889106,97.80166097,99.60918417,6.170201031,20.1767332
86,70.23,0.110225,2000,2015,1946,1994,2041,100,98.43673669,95.06595017,97.41084514,99.70688813,6.169199365,7.74110175
87,70.98,0.199914,2000,1971,1861,1976,2033,100,96.28724963,90.913532,96.53150953,99.3160723,3.751613194,14.18989572
88,71.35,0.200667,2000,1956,1863,1905,2047,100,95.55446996,91.01123596,93.06301905,100,1.843850758,14.31759045
89,71.15,0.19991,2000,1975,1863,1889,2047,100,96.48265755,91.01123596,92.2813874,100,-1.000450203,14.2235965
89,71.58,0.290374,2000,1942,1870,1899,2047,100,94.87054226,91.3531998,92.76990718,100,1.480848836,20.78497092
88,71.35,0.109673,2000,1984,1915,1858,2047,100,96.92232535,93.55153884,90.76697606,100,-2.097143326,7.82516855
86,70.91,0.200077,2000,1927,1834,1898,2047,100,94.13776258,89.59452858,92.7210552,100,-2.199153326,14.18746007
84,70.98,0.21015,1491,1123,1164,1057,1151,49.1,54.86077186,56.86370298,51.63654128,56.22862726,0.333095408,14.916447
