time, GPS_numSat, GPS_coord[0], GPS_coord[1], GPS_altitude, GPS_speed (m/s), GPS_ground_course, axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
52359823,7,1.3293954,103.786184,25,0.2,182,0,0,-1,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,-1,0,0,52,-245,4205,116,123,122,116,0,0, IDLE,0,0
52359280,7,1.3293954,103.786184,25,0.11,182,0,0,-1,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,-1,0,0,52,-245,4205,116,123,122,116,0,0, IDLE,0,0
52361849,7,1.3293955,103.786184,25,0.11,182,0,0,-1,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,-1,0,0,52,-245,4205,116,123,122,116,0,0, IDLE,0,0
52667770,7,1.3293956,103.786184,25,0.02,182,0,0,-2,0,0,0,-2,-2,0,0,0,-1,1000,1.843,1023,-1,1,0,35,-281,4203,119,143,122,124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
52868161,7,1.3293955,103.7861839,25,0.04,182,0,0,11,0,0,0,2,-2,0,0,0,5,1000,1.852,1023,0,1,-1,37,-262,4204,159,123,122,183, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
53078226,7,1.3293956,103.7861839,25,0.04,182,-1,22,2,0,8,0,-7,4,0,0,36,1,1037,1.843,1023,1,0,0,52,-243,4203,300,144,254,121, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
53358674,7,1.3293956,103.7861838,25,0.04,182,-1,-8,-3,2,4,1,-1,3,0,0,56,38,1250,1.817,1023,1,45,22,-32,-185,4691,521,524,524,518, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
53468476,7,1.3293955,103.7861838,25,0.03,182,2,-1,-5,2,5,2,2,4,0,0,62,40,1287,1.826,1023,-3,42,24,-646,-97,6081,591,571,634,593, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
53679154,7,1.3293947,103.7861836,25,0.24,182,1,0,-27,5,0,-2,2,2,0,0,33,38,1338,1.808,1023,-2,20,30,-220,-478,7836,630,736,786,653, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
53869316,7,1.329392,103.786183,25,0.76,187.2,-1,0,2,7,2,-3,1,2,0,0,62,64,1277,1.826,1023,2,39,34,28,-547,7327,572,551,605,580, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
54079377,7,1.3293867,103.7861817,26,2.39,193.6,0,-1,5,1,1,3,0,-1,0,-20,68,112,1242,1.817,1012,-12,45,61,-224,-56,4530,515,487,491,530, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
54369690,7,1.3293786,103.7861792,27,4.08,193.5,0,1,1,0,1,1,-1,1,0,-81,79,68,1270,1.817,1023,-53,49,37,-216,19,5546,579,548,565,559, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
54479788,7,1.3293687,103.7861761,28,5.14,196.5,-4,0,-1,0,1,0,0,-2,0,-94,79,54,1286,1.817,1023,-57,51,30,-222,158,5789,598,606,589,588, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
54670339,7,1.3293557,103.7861735,28,6.71,194.6,2,-3,0,0,0,-1,-3,3,0,-149,23,25,1361,1.799,1023,-103,18,14,-700,867,8072,746,751,751,743, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
54870501,7,1.3293395,103.7861747,29,8.22,183,-2,0,27,1,0,0,-10,1,0,-104,40,33,1403,1.772,1023,-65,25,8,175,2130,10932,913,795,760,864, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
55081016,7,1.3293212,103.7861818,30,10.37,166.5,0,2,15,3,-1,2,4,0,0,-71,72,55,1387,1.772,1023,-46,44,25,-210,2333,8856,821,746,783,852, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
55361275,7,1.3293024,103.7861967,31,12.72,148.4,4,0,-11,4,-5,5,0,-1,0,-32,0,52,1518,1.737,1023,-25,-1,32,-245,2917,13305,1024,1075,1084,1084, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
55481258,7,1.3292846,103.7862213,32,15.23,134.1,3,0,3,5,-1,5,1,0,0,-17,0,48,1560,1.701,1023,-14,-1,25,-733,3159,14942,1147,1113,1152,1196, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
55681643,7,1.3292695,103.786258,33,19.69,118.9,1,0,6,9,-1,6,-6,4,0,0,3,47,1456,1.737,1023,-2,2,23,-1160,3388,7147,962,897,929,974, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
55881707,7,1.3292567,103.7863037,33,25.51,108.4,0,-1,2,10,0,3,-2,-1,0,2,9,0,1396,1.772,1012,1,7,-1,-157,2467,4600,811,790,821,853, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
56081743,7,1.3292462,103.7863536,34,27.82,103.5,-3,0,-5,8,1,1,-6,-2,0,30,0,-35,1396,1.764,1012,22,0,-17,-1619,1444,3652,808,834,823,810, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
