loopIteration,time, axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisD[2], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbatLatest (V), rssi, gyroADC[0], gyroADC[1], gyroADC[2], accSmooth[0], accSmooth[1], accSmooth[2], motor[0], motor[1], motor[2], motor[3], flightModeFlags (flags), stateFlags (flags), failsafePhase (flags), rxSignalReceived, rxFlightChannelsValid
0,52359280,0,0,-1,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,-1,0,0,52,-245,4205,116,123,122,116,0,0, IDLE,0,0
256,52489660,0,0,-5,0,0,0,1,0,0,0,0,-1,1000,1.843,1023,0,0,1,54,-256,4202,116,136,140,118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
264,52494002,1,0,-1,0,0,0,5,0,0,0,0,-1,1000,1.843,1023,-2,0,0,51,-268,4203,115,120,146,144, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
272,52498074,0,0,1,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,0,0,-1,48,-278,4206,118,117,120,126, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
280,52502145,-1,0,0,0,0,0,-8,0,0,0,0,-1,1000,1.843,1023,2,0,0,49,-272,4206,155,162,117,118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
288,52506219,0,0,-5,0,0,0,0,1,0,0,0,-1,1000,1.843,1023,1,0,1,50,-261,4204,126,140,143,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
296,52510292,0,0,-4,0,0,0,3,0,0,0,0,-1,1000,1.843,1023,0,0,1,47,-268,4206,116,135,149,129, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
304,52514368,1,0,0,0,0,0,5,-1,0,0,0,-1,1000,1.843,1023,-2,0,-1,40,-280,4209,116,121,144,151, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
312,52518409,0,0,2,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,0,0,-1,47,-282,4210,124,115,116,124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
320,52522488,-1,0,0,0,0,0,-8,0,0,0,0,-1,1000,1.843,1023,2,0,0,47,-269,4207,157,162,118,116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
328,52526557,-1,0,-5,0,0,0,0,0,0,0,0,-1,1000,1.843,1023,1,0,1,45,-259,4207,123,141,139,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
336,52530611,0,0,-3,0,0,0,5,0,0,0,0,-1,1000,1.843,1023,-1,0,1,44,-269,4208,117,130,153,136, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
344,52534685,1,0,1,0,0,0,4,0,0,0,0,-1,1000,1.843,1023,-2,0,-1,46,-282,4210,121,117,137,146, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
352,52538740,0,0,1,0,0,0,-1,0,0,0,0,-1,1000,1.843,1023,0,0,-1,48,-275,4211,130,124,115,124, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
360,52542808,-2,0,-3,0,0,0,-9,0,0,0,0,-1,1000,1.843,1023,2,0,1,45,-253,4207,162,179,129,116, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
368,52546893,0,0,-5,0,0,0,1,1,0,0,0,-1,1000,1.843,1023,0,0,1,47,-253,4206,120,137,145,117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
376,52550973,1,0,-1,0,0,0,8,0,0,0,0,-1,1000,1.843,1023,-2,0,0,45,-269,4208,115,123,159,155, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
384,52555038,1,0,1,0,0,0,2,0,0,0,0,-1,1000,1.843,1023,-2,0,-1,48,-278,4210,121,118,126,138, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
392,52559097,-1,0,0,0,0,0,-6,0,0,0,0,-1,1000,1.843,1023,1,0,-1,49,-262,4209,148,147,115,118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
400,52563184,-2,0,-5,0,0,0,-7,0,0,0,0,-1,1000,1.843,1023,2,0,1,47,-244,4207,155,177,138,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
408,52567245,0,0,-4,0,0,0,4,1,0,0,0,-1,1000,1.843,1023,0,0,1,49,-256,4209,118,131,154,132, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
416,52571327,2,0,0,0,0,0,10,0,0,0,0,-1,1000,1.843,1023,-3,0,-1,48,-274,4212,116,119,167,173, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
424,52575389,0,0,2,0,0,0,-2,0,0,0,0,-1,1000,1.843,1023,-1,0,-1,52,-274,4214,135,125,116,125, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
432,52579456,-2,0,-2,0,0,0,-10,0,0,0,0,-1,1000,1.843,1023,2,0,0,62,-248,4210,167,179,122,117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
440,52583517,-1,0,-7,0,0,0,-1,1,0,0,0,-1,1000,1.843,1023,1,0,2,73,-249,4210,131,157,150,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
448,52587596,1,0,-3,0,0,0,9,0,0,0,0,-1,1000,1.843,1023,-2,0,1,77,-275,4212,116,131,178,160, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
456,52591913,2,0,1,0,0,0,8,-1,0,0,0,-1,1000,1.843,1023,-3,0,-1,79,-285,4212,120,118,156,168, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
464,52595964,-1,0,1,0,0,0,-10,0,0,0,0,-1,1000,1.843,1023,1,0,-1,78,-266,4208,167,167,115,123, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
472,52600053,-2,0,-4,0,0,0,-10,0,0,0,0,-1,1000,1.843,1023,3,0,1,75,-241,4200,167,185,134,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
480,52604113,0,0,-3,0,0,0,8,1,0,0,0,-1,1000,1.852,1023,-1,0,1,79,-261,4200,118,127,170,149, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
488,52608168,3,0,0,0,0,0,12,-1,0,0,0,-1,1000,1.852,1023,-4,0,-1,76,-288,4205,116,120,179,185, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
496,52612233,0,0,1,0,0,0,-3,0,0,0,0,-1,1000,1.852,1023,-1,0,-1,71,-287,4204,128,124,115,122, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
504,52616327,-3,0,-4,0,0,0,-15,0,0,0,0,-1,1000,1.852,1023,3,0,1,68,-253,4197,189,210,131,117, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
512,52620378,-1,0,-5,0,0,0,-2,1,0,0,0,-1,1000,1.843,1023,2,0,1,65,-245,4195,136,151,143,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
520,52624447,3,0,0,0,0,0,16,0,0,0,0,-1,1000,1.843,1023,-3,0,0,62,-278,4200,115,118,196,194, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
528,52628556,2,0,0,0,0,0,7,0,0,0,0,-1,1000,1.843,1023,-3,0,-1,58,-299,4206,117,118,154,162, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
536,52632616,-2,0,-2,0,0,0,-16,0,0,0,0,-1,1000,1.843,1023,3,0,0,52,-275,4202,190,205,122,118, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
544,52636668,-3,0,-4,0,0,0,-9,1,0,0,0,-1,1000,1.843,1023,3,0,1,49,-248,4198,171,180,138,115, ANGLE_MODE, GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE, IDLE,1,1
